LOCATION;TIME;Education
ARG;2008;35.2
ARG;2009;35.7
ARG;2011;37
ARG;2012;38
ARG;2013;38.3
ARG;2014;38.2
ARG;2017;40.1
AUS;2007;34.4
AUS;2008;33.8
AUS;2009;34.1
AUS;2010;35.6
AUS;2011;35.7
AUS;2012;35.2
AUS;2013;36.2
AUS;2014;35.2
AUS;2015;36.1
AUS;2016;36.2
AUS;2017;35.6
AUT;2007;54.8
AUT;2008;54.7
AUT;2009;54.7
AUT;2010;54.6
AUT;2011;54.4
AUT;2012;54.2
AUT;2013;53.2
AUT;2014;54
AUT;2015;54.1
AUT;2016;53.1
AUT;2017;52.6
BEL;2007;35.9
BEL;2008;37.3
BEL;2009;37.2
BEL;2010;35.5
BEL;2011;36.7
BEL;2012;36.3
BEL;2013;37.2
BEL;2014;36.7
BEL;2015;37.8
BEL;2016;37.6
BEL;2017;36.5
BRA;2007;27.2
BRA;2008;28
BRA;2009;29.8
BRA;2011;31.7
BRA;2012;32
BRA;2013;32.7
BRA;2014;33
BRA;2015;34.1
BRA;2016;33.6
BRA;2017;34.1
CAN;2007;38.3
CAN;2008;38.3
CAN;2009;38.2
CAN;2010;38
CAN;2011;37.6
CAN;2012;36.7
CAN;2013;36.6
CAN;2014;36.4
CAN;2015;35.2
CAN;2016;34.3
CAN;2017;34.4
CHE;2007;54.6
CHE;2008;53.2
CHE;2009;51.9
CHE;2010;51.2
CHE;2011;50.8
CHE;2012;50.4
CHE;2013;49
CHE;2014;48.8
CHE;2015;47.5
CHE;2016;46.2
CHE;2017;45.2
CHL;2009;39.4
CHL;2011;39.9
CHL;2013;40.3
CHL;2015;42.4
CHL;2017;42.3
CHN;2010;14.8
COL;2014;29.6
COL;2015;28.8
COL;2016;30.2
COL;2017;31.3
CRI;2007;15.3
CRI;2008;15.7
CRI;2009;15.5
CRI;2010;15.9
CRI;2011;15.8
CRI;2012;15.9
CRI;2013;17
CRI;2014;17
CRI;2015;16.2
CRI;2016;16.9
CRI;2017;16.5
CZE;2007;76.8
CZE;2008;76.4
CZE;2009;75.9
CZE;2010;75.2
CZE;2011;74.1
CZE;2012;73.2
CZE;2013;72.4
CZE;2014;71.7
CZE;2015;71
CZE;2016;70.5
CZE;2017;69.9
DEU;2007;60.1
DEU;2008;59.9
DEU;2009;59.1
DEU;2010;59.2
DEU;2011;58.7
DEU;2012;58.2
DEU;2013;57.8
DEU;2014;59.8
DEU;2015;59.2
DEU;2016;58.2
DEU;2017;57.9
DNK;2007;43.4
DNK;2008;42.4
DNK;2009;42.3
DNK;2010;42.4
DNK;2011;43.2
DNK;2012;43.1
DNK;2013;42.8
DNK;2014;43.8
DNK;2015;43.3
DNK;2016;42.6
DNK;2017;42.1
ESP;2007;21.4
ESP;2008;21.6
ESP;2009;21.6
ESP;2010;21.9
ESP;2011;22.1
ESP;2012;22
ESP;2013;21.7
ESP;2014;21.9
ESP;2015;22.4
ESP;2016;22.6
ESP;2017;22.7
EST;2007;55.7
EST;2008;54.1
EST;2009;52.6
EST;2010;53.7
EST;2011;52.1
EST;2012;52.3
EST;2013;53.2
EST;2014;50.6
EST;2015;50.5
EST;2016;50.1
EST;2017;49
FIN;2007;44.2
FIN;2008;44.5
FIN;2009;44.7
FIN;2010;44.8
FIN;2011;44.4
FIN;2012;45.1
FIN;2013;45.3
FIN;2014;44.7
FIN;2015;44.4
FIN;2016;44.3
FIN;2017;43.8
FRA;2007;41.8
FRA;2008;42.4
FRA;2009;41.7
FRA;2010;41.8
FRA;2011;41.8
FRA;2012;41.7
FRA;2013;42.7
FRA;2014;43.8
FRA;2015;43.4
FRA;2016;43.5
FRA;2017;43.2
G20;2010;36.8
G20;2011;36.8
GBR;2007;36.7
GBR;2008;36.4
GBR;2009;36.8
GBR;2010;36.9
GBR;2011;37.4
GBR;2012;37.1
GBR;2013;37.3
GBR;2014;36.9
GBR;2015;35.4
GBR;2016;35
GBR;2017;35.4
GRC;2007;37.2
GRC;2008;37.8
GRC;2009;37.8
GRC;2010;38
GRC;2011;38.4
GRC;2012;39.1
GRC;2013;39.8
GRC;2014;40.2
GRC;2015;41.2
GRC;2016;41.4
GRC;2017;41.7
HUN;2007;61.2
HUN;2008;60.5
HUN;2009;60.7
HUN;2010;61.2
