LOCATION;TIME;Pollution
AFG;2010;100
AFG;2011;100
AFG;2012;100
AFG;2013;100
AFG;2014;100
AFG;2015;100
AFG;2016;100
AFG;2017;100
AGO;2010;100
AGO;2011;100
AGO;2012;100
AGO;2013;100
AGO;2014;100
AGO;2015;100
AGO;2016;100
AGO;2017;100
ALB;2010;99
ALB;2011;99
ALB;2012;99
ALB;2013;99
ALB;2014;99
ALB;2015;99
ALB;2016;99
ALB;2017;99
ARE;2010;99.4
ARE;2011;99.4
ARE;2012;99.4
ARE;2013;99.4
ARE;2014;99.4
ARE;2015;99.4
ARE;2016;99.4
ARE;2017;99.4
ARG;2010;99.5
ARG;2011;99.5
ARG;2012;99.3
ARG;2013;99
ARG;2014;98.4
ARG;2015;98.3
ARG;2016;96
ARG;2017;96
ARM;2010;100
ARM;2011;100
ARM;2012;100
ARM;2013;100
ARM;2014;100
ARM;2015;100
ARM;2016;100
ARM;2017;100
AUS;2010;34.1
AUS;2011;37.6
AUS;2012;31.7
AUS;2013;29.7
AUS;2014;28.3
AUS;2015;27.4
AUS;2016;26
AUS;2017;26
AUT;2010;98.8
AUT;2011;99.4
AUT;2012;98
AUT;2013;96.7
AUT;2014;95.1
AUT;2015;93
AUT;2016;87
AUT;2017;87
AZE;2010;99.9
AZE;2011;99.9
AZE;2012;99.9
AZE;2013;99.9
AZE;2014;99.9
AZE;2015;99.9
AZE;2016;99.9
AZE;2017;99.9
BDI;2010;100
BDI;2011;100
BDI;2012;100
BDI;2013;100
BDI;2014;100
BDI;2015;100
BDI;2016;100
BDI;2017;100
BEL;2010;99.6
BEL;2011;99.5
BEL;2012;98.7
BEL;2013;97.8
BEL;2014;95.8
BEL;2015;96.3
BEL;2016;93.3
BEL;2017;93.5
BEN;2010;100
BEN;2011;100
BEN;2012;100
BEN;2013;100
BEN;2014;100
BEN;2015;100
BEN;2016;100
BEN;2017;100
BFA;2010;100
BFA;2011;100
BFA;2012;100
BFA;2013;100
BFA;2014;100
BFA;2015;100
BFA;2016;100
BFA;2017;100
BGD;2010;100
BGD;2011;100
BGD;2012;100
BGD;2013;100
BGD;2014;100
BGD;2015;100
BGD;2016;100
BGD;2017;100
BGR;2010;99.9
BGR;2011;99.9
BGR;2012;99.9
BGR;2013;99.9
BGR;2014;99.9
BGR;2015;99.9
BGR;2016;99.8
BGR;2017;99.8
BHR;2010;100
BHR;2011;100
BHR;2012;100
BHR;2013;100
BHR;2014;100
BHR;2015;100
BHR;2016;100
BHR;2017;100
BIH;2010;100
BIH;2011;100
BIH;2012;100
BIH;2013;100
BIH;2014;100
BIH;2015;100
BIH;2016;100
BIH;2017;100
BLR;2010;100
BLR;2011;100
BLR;2012;100
BLR;2013;100
BLR;2014;100
BLR;2015;100
BLR;2016;100
BLR;2017;99.9
BOL;2010;100
BOL;2011;100
BOL;2012;100
BOL;2013;100
BOL;2014;100
BOL;2015;100
BOL;2016;100
BOL;2017;100
BRA;2010;91.4
BRA;2011;92.3
BRA;2012;87.5
BRA;2013;85.9
BRA;2014;77.9
BRA;2015;75.5
BRA;2016;68.1
BRA;2017;68.3
BRN;2010;1.3
BRN;2011;1.3
BRN;2012;1.3
BRN;2013;0
BRN;2014;0
BRN;2015;0
BRN;2016;0
BRN;2017;0
BTN;2010;100
BTN;2011;100
BTN;2012;100
BTN;2013;100
BTN;2014;100
BTN;2015;100
BTN;2016;100
BTN;2017;100
BWA;2010;100
BWA;2011;100
BWA;2012;100
BWA;2013;100
BWA;2014;100
BWA;2015;100
BWA;2016;100
BWA;2017;100
CAF;2010;100
CAF;2011;100
CAF;2012;100
CAF;2013;100
CAF;2014;100
CAF;2015;100
CAF;2016;100
CAF;2017;100
CAN;2010;13.7
CAN;2011;18.3
CAN;2012;8.8
CAN;2013;7.1
CAN;2014;2.6
CAN;2015;0.9
CAN;2016;0
CAN;2017;0
CHE;2010;94.2
CHE;2011;95.4
CHE;2012;93.1
CHE;2013;88.6
CHE;2014;80.2
CHE;2015;74.6
CHE;2016;54.1
CHE;2017;54
CHL;2010;98.5
CHL;2011;98.5
CHL;2012;98.5
CHL;2013;98.5
CHL;2014;98
CHL;2015;97.7
CHL;2016;97.2
CHL;2017;97.3
CHN;2010;99.9
CHN;2011;99.9
CHN;2012;99.9
CHN;2013;99.9
CHN;2014;99.9
CHN;2015;99.9
CHN;2016;99.9
CHN;2017;99.9
CIV;2010;100
CIV;2011;100
CIV;2012;100
CIV;2013;100
CIV;2014;100
CIV;2015;100
CIV;2016;100
CIV;2017;100
CMR;2010;99.6
CMR;2011;99.6
CMR;2012;99.6
CMR;2013;99.6
CMR;2014;99.6
CMR;2015;99.6
CMR;2016;99.6
CMR;2017;99.6
COD;2010;100
COD;2011;100
COD;2012;100
COD;2013;100
COD;2014;100
COD;2015;100
COD;2016;100
COD;2017;100
COG;2010;99.9
COG;2011;99.9
COG;2012;99.9
COG;2013;99.9
COG;2014;99.9
COG;2015;99.9
COG;2016;99.9
COG;2017;99.9
COL;2010;99.5
COL;2011;99.5
COL;2012;99.5
COL;2013;99.1
COL;2014;97.3
COL;2015;96.3
COL;2016;93.7
COL;2017;93.2
CRI;2010;99.8
CRI;2011;99.8
CRI;2012;99.8
CRI;2013;99.8
