LOCATION;TIME;Employment rate
AUS;2007;72.8
AUS;2008;73.2
AUS;2009;72.1
AUS;2010;72.4
AUS;2011;72.7
AUS;2012;72.3
AUS;2013;72
AUS;2014;71.6
AUS;2015;72.2
AUS;2016;72.4
AUS;2017;73
AUT;2007;69.9
AUT;2008;70.8
AUT;2009;70.3
AUT;2010;70.8
AUT;2011;71.1
AUT;2012;71.4
AUT;2013;71.4
AUT;2014;71.1
AUT;2015;71.1
AUT;2016;71.5
AUT;2017;72.2
BEL;2007;62
BEL;2008;62.4
BEL;2009;61.6
BEL;2010;62
BEL;2011;61.9
BEL;2012;61.8
BEL;2013;61.8
BEL;2014;61.9
BEL;2015;61.8
BEL;2016;62.3
BEL;2017;63.1
CAN;2007;73.5
CAN;2008;73.5
CAN;2009;71.4
CAN;2010;71.5
CAN;2011;71.8
CAN;2012;72
CAN;2013;72.4
CAN;2014;72.3
CAN;2015;72.5
CAN;2016;72.6
CAN;2017;73.4
CHE;2007;78.6
CHE;2008;79.5
CHE;2009;79
CHE;2010;77.3
CHE;2011;78.3
CHE;2012;78.5
CHE;2013;78.4
CHE;2014;78.8
CHE;2015;79.2
CHE;2016;79.6
CHE;2017;79.8
CHL;2007;56.3
CHL;2008;57.3
CHL;2009;56.1
CHL;2010;59.3
CHL;2011;61.3
CHL;2012;61.8
CHL;2013;62.3
CHL;2014;62.2
CHL;2015;62.4
CHL;2016;62.2
CHL;2017;62.7
COL;2007;60.2
COL;2008;60.5
COL;2009;62.3
COL;2010;63.7
COL;2011;65.1
COL;2012;66.3
COL;2013;66.5
COL;2014;67.1
COL;2015;67.6
COL;2016;67.2
COL;2017;66.9
CZE;2007;66.1
CZE;2008;66.5
CZE;2009;65.4
CZE;2010;65
CZE;2011;65.7
CZE;2012;66.5
CZE;2013;67.7
CZE;2014;69
CZE;2015;70.2
CZE;2016;72
CZE;2017;73.6
DEU;2007;69
DEU;2008;70.1
DEU;2009;70.3
DEU;2010;71.2
DEU;2011;72.7
DEU;2012;73
DEU;2013;73.5
DEU;2014;73.8
DEU;2015;74
DEU;2016;74.7
DEU;2017;75.2
DNK;2007;77
DNK;2008;77.8
DNK;2009;75.4
DNK;2010;73.3
DNK;2011;73.2
DNK;2012;72.6
DNK;2013;72.5
DNK;2014;72.8
DNK;2015;73.5
DNK;2016;74.8
DNK;2017;74.2
EA1;2007;65.4
EA1;2008;65.8
EA1;2009;64.3
EA1;2010;64
EA1;2011;64.2
EA1;2012;63.7
EA1;2013;63.5
EA1;2014;63.8
EA1;2015;64.5
EA1;2016;65.4
EA1;2017;66.3
ESP;2007;65.8
ESP;2008;64.5
ESP;2009;60
ESP;2010;58.9
ESP;2011;58
ESP;2012;55.8
ESP;2013;54.8
ESP;2014;56
ESP;2015;57.8
ESP;2016;59.5
ESP;2017;61.1
EST;2007;69.7
EST;2008;70.1
EST;2009;63.8
EST;2010;61.2
EST;2011;65.3
EST;2012;67.2
EST;2013;68.5
EST;2014;69.6
EST;2015;71.9
EST;2016;72.1
EST;2017;74.1
EU2;2007;65.2
EU2;2008;65.7
EU2;2009;64.4
EU2;2010;64.1
EU2;2011;64.2
EU2;2012;64.1
EU2;2013;64
EU2;2014;64.8
EU2;2015;65.6
EU2;2016;66.6
EU2;2017;67.7
FIN;2007;70.3
FIN;2008;71
FIN;2009;68.7
FIN;2010;68.2
FIN;2011;69
FIN;2012;69.4
FIN;2013;68.9
FIN;2014;68.7
FIN;2015;68.5
FIN;2016;69.1
FIN;2017;70
FRA;2007;64.3
FRA;2008;64.9
FRA;2009;64.1
FRA;2010;64
FRA;2011;63.9
FRA;2012;64
FRA;2013;64
FRA;2014;63.6
FRA;2015;63.8
FRA;2016;64.2
FRA;2017;64.7
G-7;2007;69.6
G-7;2008;69.5
G-7;2009;67.6
G-7;2010;67.2
G-7;2011;67.5
G-7;2012;67.7
G-7;2013;68
G-7;2014;68.6
G-7;2015;69.1
G-7;2016;69.9
G-7;2017;70.6
GBR;2007;71.5
GBR;2008;71.5
GBR;2009;69.9
GBR;2010;69.4
GBR;2011;69.3
GBR;2012;70
GBR;2013;70.5
GBR;2014;71.9
GBR;2015;72.7
GBR;2016;73.5
GBR;2017;74.1
GRC;2007;60.9
GRC;2008;61.4
GRC;2009;60.9
GRC;2010;59.1
GRC;2011;55.1
GRC;2012;50.8
GRC;2013;48.8
GRC;2014;49.4
GRC;2015;50.8
GRC;2016;52
GRC;2017;53.5
HUN;2007;57
HUN;2008;56.4
HUN;2009;55
HUN;2010;55
HUN;2011;55.4
HUN;2012;56.7
HUN;2013;58.1
HUN;2014;61.8
HUN;2015;64
HUN;2016;66.5
HUN;2017;68.2
IRL;2007;71.7
IRL;2008;69.7
IRL;2009;63.6
IRL;2010;61
IRL;2011;60
IRL;2012;59.9
IRL;2013;61.7
IRL;2014;63.1
IRL;2015;64.8
IRL;2016;66.4
IRL;2017;67.7
ISL;2007;85.2
ISL;2008;83.6
ISL;2009;78.3
ISL;2010;78.2
ISL;2011;78.5
ISL;2012;79.7
ISL;2013;81.1
ISL;2014;83
ISL;2015;84.7
ISL;2016;86.5
ISL;2017;86.1
ISR;2007;58.9
ISR;2008;59.8
ISR;2009;59.2
ISR;2010;60.2
ISR;2011;60.9
ISR;2012;66.5
ISR;2013;67.1
ISR;2014;67.9
ISR;2015;68.3
ISR;2016;68.6
ISR;2017;69
ITA;2007;58.6
ITA;2008;58.6
ITA;2009;57.4
ITA;2010;56.8
ITA;2011;56.8
ITA;2012;56.6
ITA;2013;55.5
ITA;2014;55.7
ITA;2015;56.3
ITA;2016;57.2
ITA;2017;58
JPN;2007;70.8
JPN;2008;70.9
JPN;2009;70.2
JPN;2010;70.3
JPN;2011;70.8
JPN;2012;70.6
JPN;2013;71.8
JPN;2014;72.8
JPN;2015;73.4
JPN;2016;74.4
JPN;2017;75.3
KOR;2007;64.1
KOR;2008;64
KOR;2009;63
KOR;2010;63.4
KOR;2011;63.9
KOR;2012;64.3
KOR;2013;64.6
KOR;2014;65.6
KOR;2015;65.9
KOR;2016;66.1
KOR;2017;66.6
LTU;2007;65
LTU;2008;64.4
LTU;2009;59.9
LTU;2010;57.5
LTU;2011;60.2
LTU;2012;62
LTU;2013;63.7
LTU;2014;65.7
LTU;2015;67.2
LTU;2016;69.4
LTU;2017;70.4
LUX;2007;64.2
LUX;2008;63.4
LUX;2009;65.2
LUX;2010;65.2
LUX;2011;64.6
LUX;2012;65.8
LUX;2013;65.7
LUX;2014;66.6
LUX;2015;66.2
LUX;2016;65.6
LUX;2017;66.3
LVA;2007;68.1
LVA;2008;68.2
LVA;2009;60.4
LVA;2010;58.5
LVA;2011;60.8
LVA;2012;63
LVA;2013;65
LVA;2014;66.3
LVA;2015;68.1
LVA;2016;68.7
LVA;2017;70.1
MEX;2007;61
MEX;2008;60.7
MEX;2009;59.8
MEX;2010;59.7
MEX;2011;60
MEX;2012;60.9
MEX;2013;60.8
MEX;2014;60.4
MEX;2015;60.7
MEX;2016;61
MEX;2017;61.1
NLD;2007;73.5
NLD;2008;74.9
NLD;2009;74.6
NLD;2010;73.9
NLD;2011;74.2
NLD;2012;74.3
NLD;2013;73.6
NLD;2014;73.1
NLD;2015;74.2
NLD;2016;74.8
NLD;2017;75.8
NOR;2007;76.8
NOR;2008;78
NOR;2009;76.4
NOR;2010;75.3
NOR;2011;75.3
NOR;2012;75.8
NOR;2013;75.4
NOR;2014;75.2
NOR;2015;74.8
NOR;2016;74.3
NOR;2017;74
NZL;2007;75.1
NZL;2008;74.6
NZL;2009;72.8
NZL;2010;72.2
NZL;2011;72.5
NZL;2012;72
NZL;2013;72.8
NZL;2014;74.2
NZL;2015;74.3
NZL;2016;75.6
NZL;2017;76.9
OEC;2007;66.4
OEC;2008;66.3
OEC;2009;64.6
OEC;2010;64.4
OEC;2011;64.7
OEC;2012;64.9
OEC;2013;65.1
OEC;2014;65.7
OEC;2015;66.3
OEC;2016;67
OEC;2017;67.7
POL;2007;57
POL;2008;59.2
POL;2009;59.4
POL;2010;59
POL;2011;59.3
POL;2012;59.7
POL;2013;60
POL;2014;61.7
POL;2015;62.9
POL;2016;64.5
POL;2017;66.1
PRT;2007;67.6
PRT;2008;68
PRT;2009;66.1
PRT;2010;65.3
PRT;2011;63.8
PRT;2012;61.4
PRT;2013;60.6
PRT;2014;62.6
PRT;2015;63.9
PRT;2016;65.2
PRT;2017;67.8
SVK;2007;60.7
SVK;2008;62.2
SVK;2009;60.2
SVK;2010;58.8
SVK;2011;59.3
SVK;2012;59.7
SVK;2013;59.9
SVK;2014;61
SVK;2015;62.7
SVK;2016;64.8
SVK;2017;66.2
SVN;2007;67.8
SVN;2008;68.6
SVN;2009;67.5
SVN;2010;66.2
SVN;2011;64.4
SVN;2012;64.1
SVN;2013;63.3
SVN;2014;63.9
SVN;2015;65.2
SVN;2016;65.8
SVN;2017;69.3
SWE;2007;74.2
SWE;2008;74.3
SWE;2009;72.2
SWE;2010;72.2
SWE;2011;73.6
SWE;2012;73.8
SWE;2013;74.4
SWE;2014;74.8
SWE;2015;75.5
SWE;2016;76.2
SWE;2017;76.8
TUR;2007;44.6
TUR;2008;44.9
TUR;2009;44.2
TUR;2010;46.3
TUR;2011;48.4
TUR;2012;48.9
TUR;2013;49.5
TUR;2014;49.5
TUR;2015;50.1
TUR;2016;50.6
TUR;2017;51.5
USA;2007;71.8
USA;2008;70.9
USA;2009;67.6
USA;2010;66.7
USA;2011;66.6
USA;2012;67.1
USA;2013;67.4
USA;2014;68.1
USA;2015;68.7
USA;2016;69.4
USA;2017;70.1
ZAF;2007;44.4
ZAF;2008;45.9
ZAF;2009;43.9
ZAF;2010;41.8
ZAF;2011;41.9
ZAF;2012;42.2
ZAF;2013;42.7
ZAF;2014;42.8
ZAF;2015;43.7
ZAF;2016;43
ZAF;2017;43.4
