LOCATION;TIME;Cancer;Suicide;Alcohol;Smokers;Obese;LifeAtBirth;LifeAtOld
AUS;2007;203;10.6;10.8;16.9;61.2;81.4;20,05
CAN;2008;218.1;10.7;8.4;17.5;60;80.6;19,6
CAN;2010;210.6;11.1;8.4;16.3;58.6;81.1;19,95
CAN;2013;203;11.1;8.2;14.9;60.3;81.7;20,45
CAN;2015;196.8;11.8;8;13.1;64.1;81.9;20,6
CHL;2009;206.5;13.3;7.2;29.8;64.5;78.2;18,3
CHL;2016;230.2;10.7;7.9;24.5;74.2;80.2;19,65
CZE;2008;256.7;12.6;12.1;21.8;56;77.3;17,05
CZE;2010;250.3;13.5;11.4;22.8;55;77.7;17,25
EST;2014;237;17.5;11.1;22.1;51.3;77.2;17,8
FIN;2011;178.4;16.4;9.8;17.8;65;80.6;19,7
FIN;2012;176.5;15.6;9.3;17;58;80.7;19,7
GBR;2007;234.8;6.3;11.1;21;60.8;79.7;18,85
GBR;2008;232.9;6.9;10.8;21;61.4;79.8;18,9
GBR;2009;228.5;6.8;10.1;21;61.3;80.4;19,35
GBR;2010;226.3;6.7;10.1;20;62.8;80.6;19,5
GBR;2011;225.2;6.9;9.9;20;61.7;81;19,8
GBR;2012;225.8;6.9;9.6;20;61.9;81;19,7
GBR;2013;221.9;7.5;9.4;19;62.1;81.1;19,75
GBR;2014;219.7;7.4;9.4;19;61.7;81.4;20,05
GBR;2015;217.7;7.5;9.5;17.8;62.9;81;19,7
GBR;2016;216.4;7.3;9.5;16.1;61.4;81.2;19,95
HUN;2009;295.5;23.3;11.5;26.5;61.6;74.4;16,1
HUN;2014;282.7;17.8;10.9;25.8;62.3;75.9;16,6
IRL;2007;240.3;10.4;13.2;24;61;79.7;18,55
IRL;2015;219.2;9.3;10.7;19;61;81.5;19,7
JPN;2007;191.9;22.1;7.7;24.1;24.8;82.6;21,1
JPN;2008;190.4;21.8;7.5;21.8;24.2;82.7;21,1
JPN;2009;186.1;22.2;7.4;23.4;25.1;83;21,45
JPN;2010;186.1;21.2;7.3;19.5;25.3;82.9;21,25
JPN;2011;183.9;20.9;7.3;20.1;25.5;82.7;21,2
JPN;2012;181.1;19.1;7.2;20.7;23.7;83.2;21,35
JPN;2013;179;18.7;7.4;19.3;24.1;83.4;21,55
JPN;2014;176.6;17.6;7.1;19.6;24.7;83.7;21,75
JPN;2015;173.8;16.6;7.2;18.2;23.8;83.9;21,8
JPN;2016;171.5;15.2;7.2;18.3;25.4;84.1;22,0
KOR;2007;203.6;28.7;9.3;24;31;79.2;18,1
KOR;2008;199.5;29;9.5;26.3;30.1;79.6;18,5
KOR;2009;193.8;33.8;8.9;25.6;30.5;80;18,9
KOR;2010;193.7;33.5;9;22.9;30.2;80.2;19,0
KOR;2011;185.1;33.3;8.9;23.2;30.7;80.6;19,3
KOR;2012;183.3;29.1;9.1;21.6;31.8;80.9;19,35
KOR;2013;178.9;28.7;8.7;19.9;31.5;81.4;19,75
KOR;2014;175;26.7;8.9;20;30.8;81.8;20,1
KOR;2015;168.4;25.8;9.1;17.3;33.4;82.1;20,3
KOR;2016;165.2;24.6;8.7;18.4;34.5;82.4;20,5
LUX;2007;220.3;16.2;12.2;21;54.8;79.5;18,35
LUX;2008;201.1;8.4;12;20;54.7;80.6;19,2
LUX;2009;215.2;9.3;12;19;58.7;80.7;19,5
LUX;2010;209.9;10.3;11.8;18.3;59.1;80.7;19,45
LUX;2011;207.9;10.4;12.1;16.9;60.2;81.1;19,7
LUX;2012;205.5;9.4;12;16.8;59.2;81.5;19,9
LUX;2013;189.1;7.3;11.7;15.7;58.1;81.9;20,5
LUX;2014;199.9;11.8;11.8;15.3;58.1;82.3;20,55
LVA;2014;240.7;18.1;10.6;24.1;54.6;74.3;16,4
MEX;2008;128.4;4.7;4;10.8;65.1;74.1;17,55
MEX;2012;120.2;4.9;3.9;11.8;71.3;74.4;17,65
NZL;2007;229.8;11.9;9.2;18.1;62.5;80.3;19,4
NZL;2012;209.9;12.5;9.2;16.3;64.3;81.2;20,0
NZL;2013;211.4;11.8;9.2;15.6;64.8;81.4;20,1
NZL;2014;210.2;11.5;9.1;15.7;65.1;81.5;20,25
USA;2008;202.8;12;8.7;16.5;67.9;78.1;18,7
USA;2010;197.9;12.5;8.6;15.1;68.8;78.6;19,0
USA;2012;192.5;13;8.9;14.2;68.6;78.8;19,2
USA;2014;189.3;13.5;8.8;12.9;70.1;78.9;19,3
USA;2016;180.6;13.9;8.9;11.8;71;78.7;19,35
