LOCATION;TIME;Average Wages
AUS;2007;50565.4
AUS;2008;50973.2
AUS;2009;50511
AUS;2010;52253
AUS;2011;53905.8
AUS;2012;54226.2
AUS;2013;53977.4
AUS;2014;54391.8
AUS;2015;53946.3
AUS;2016;53971.6
AUS;2017;53507.3
AUT;2007;48644.6
AUT;2008;49509.4
AUT;2009;50312.2
AUT;2010;50096.7
AUT;2011;49578.9
AUT;2012;49835.1
AUT;2013;49896.5
AUT;2014;50082.8
AUT;2015;50373.8
AUT;2016;50906
AUT;2017;50851.4
BEL;2007;50575.4
BEL;2008;50725
BEL;2009;51159.3
BEL;2010;50872.5
BEL;2011;51204.9
BEL;2012;51550.6
BEL;2013;52221.6
BEL;2014;52514.3
BEL;2015;52120.1
BEL;2016;51951.7
BEL;2017;51736.1
CAN;2007;43968.6
CAN;2008;44810.3
CAN;2009;45309
CAN;2010;45502.6
CAN;2011;46203.4
CAN;2012;47275.5
CAN;2013;48191.6
CAN;2014;48717.5
CAN;2015;48979.3
CAN;2016;47793.4
CAN;2017;48247.1
CHE;2007;60304.4
CHE;2008;60629.7
CHE;2009;61856.1
CHE;2010;62002.9
CHE;2011;62107.9
CHE;2012;63207.3
CHE;2013;64180.9
CHE;2014;64284.5
CHE;2015;64222.8
CHE;2016;64063.9
CHE;2017;63899.9
CHL;2007;21967.2
CHL;2008;22409.1
CHL;2009;24037.7
CHL;2010;24960.8
CHL;2011;25106.4
CHL;2012;25914.9
CHL;2013;26583.8
CHL;2014;26803.5
CHL;2015;26759.2
CHL;2016;27655.3
CHL;2017;26766.6
CZE;2007;22412.3
CZE;2008;22423
CZE;2009;22371.7
CZE;2010;22944.5
CZE;2011;23102
CZE;2012;23089.7
CZE;2013;22846.1
CZE;2014;23324.3
CZE;2015;23962.8
CZE;2016;24778.2
CZE;2017;25804.1
DEU;2007;43802.1
DEU;2008;44079.1
DEU;2009;44253.6
DEU;2010;44451.2
DEU;2011;45209.4
DEU;2012;45725.2
DEU;2013;46277.2
DEU;2014;47010
DEU;2015;48034.6
DEU;2016;48709.6
DEU;2017;49161.1
DNK;2007;49771.8
DNK;2008;50445.5
DNK;2009;51668.6
DNK;2010;52263.9
DNK;2011;51993.3
DNK;2012;51923.1
DNK;2013;52260.7
DNK;2014;53260.7
DNK;2015;54196.9
DNK;2016;55032.3
DNK;2017;54722.5
ESP;2007;37589.7
ESP;2008;39102.3
ESP;2009;41750.9
ESP;2010;41034.3
ESP;2011;40452.8
ESP;2012;39301.6
ESP;2013;39391.3
ESP;2014;39397.8
ESP;2015;40087.6
ESP;2016;39860.3
ESP;2017;39073.3
EST;2007;21771.9
EST;2008;22052.8
EST;2009;21304.5
EST;2010;21192.4
EST;2011;20320.6
EST;2012;21161.9
EST;2013;21459.6
