LOCATION;TIME;GDP;Social spending
AUS;2007;39612.9;6612.4
AUS;2008;40094.8;7097.9
AUS;2009;41613.6;7066.6
AUS;2010;42812.1;6997
AUS;2011;44419.3;7342.4
AUS;2012;43879.2;7514.1
AUS;2013;47761.2;7744.2
AUS;2014;47638.6;8095.5
AUS;2015;47351;8328.1
AUS;2016;50262.6;8029.1
AUT;2007;39394;10695.2
AUT;2008;41316;11001.9
AUT;2009;40935.5;11370.2
AUT;2010;42017.8;11592.2
AUT;2011;44469.2;11538.8
AUT;2012;46477.7;11723.2
AUT;2013;47936.7;11829.5
AUT;2014;48813.5;11930
AUT;2015;49955.5;11926.1
BEL;2007;36871.6;10108.8
BEL;2008;38133.4;10663.7
BEL;2009;38010.5;11244.1
BEL;2010;40050.4;11338.9
BEL;2011;41450.4;11621
BEL;2012;42585.2;11551.8
BEL;2013;43746;11727.6
BEL;2014;44720.5;11915.6
BEL;2015;45739.2;11917.4
CAN;2007;39544.7;6608.4
CAN;2008;40378;6569.5
CAN;2009;38896;7081.9
CAN;2010;40106.2;7028.2
CAN;2011;41662.5;6943.9
CAN;2012;42246.7;7009.8
CAN;2013;44211;6993.5
CAN;2014;45627.6;7047.4
CAN;2015;44671.4;7456.2
CHE;2007;49500.2;7498.3
CHE;2008;52362.6;7425.6
CHE;2009;51564.6;7918.6
CHE;2010;52859.8;7968.9
CHE;2011;56183.8;7974.7
CHE;2012;57849.6;8161.7
CHE;2013;60108.5;8299.2
CHE;2014;61902.2;8433.5
CHE;2015;63939;8649.3
CHL;2007;16872.3;1461.6
CHL;2008;16447.3;1687.1
CHL;2009;16119.9;1916.3
CHL;2010;18129.1;1894.2
CHL;2011;20302.8;1900.2
CHL;2012;21446.5;2003.3
CHL;2013;22352.5;2045.2
CHL;2014;22687.9;2113.7
CHL;2015;22593.3;2243.1
CHL;2016;22788.3;2294.8
CHL;2017;24180.8;2282.7
CZE;2007;26064.5;4924.9
CZE;2008;27724.4;5085.3
CZE;2009;27474.2;5438.8
CZE;2010;27554.7;5439.7
CZE;2011;28795.8;5557.2
CZE;2012;29051.4;5564.9
CZE;2013;30496;5796.2
CZE;2014;32265;5751.1
CZE;2015;33701.4;5799.7
DEU;2007;37024.4;9602.2
DEU;2008;38662.6;9785.9
DEU;2009;37695.7;10203.1
DEU;2010;39916.1;10347
DEU;2011;42692.5;10215.3
DEU;2012;43564.1;10192.6
DEU;2013;45232;10280.4
DEU;2014;47190.5;10442.2
DEU;2015;47979.2;10598.7
DNK;2007;38978.8;11336.2
DNK;2008;41283;11384.9
DNK;2009;40340.4;11989.8
DNK;2010;43004.9;12308.1
DNK;2011;44408;12439.1
DNK;2012;44808.5;12469.8
DNK;2013;46742.9;12549.3
DNK;2014;47905.5;12705.6
DNK;2015;49071.3;12895.2
ESP;2007;32431.6;7016.7
ESP;2008;33242.2;7447.3
ESP;2009;32095.8;8146.8
ESP;2010;31690;7902.2
ESP;2011;31872.4;8006.2
ESP;2012;31724.6;7750.5
ESP;2013;32452.7;7712.2
ESP;2014;33544.4;7741.4
ESP;2015;34938.6;7832.1
EST;2007;21928;3265.5
EST;2008;22641.8;3784.1
EST;2009;20484.2;4116.8
EST;2010;21552.2;3948.4
EST;2011;24501.3;3796.7
EST;2012;25973.3;3862.9
EST;2013;27449.9;3938
EST;2014;28936.5;4230.2
EST;2015;29259.8;4639.2
FIN;2007;37703.3;9428.4
FIN;2008;39969.4;9645.8
FIN;2009;37829.8;10162.5
FIN;2010;38737.1;10601.6
FIN;2011;40683.3;10722.8
FIN;2012;40619.9;11009.1
FIN;2013;41293.3;11288.1
FIN;2014;41462.7;11460.6
FIN;2015;42213.5;11514.6
FRA;2007;34095.4;10355.6
FRA;2008;35102.9;10414.8
FRA;2009;34693.2;11012.1
FRA;2010;35909.2;11180
FRA;2011;37447.9;11276.2
FRA;2012;37684.2;11438.9
FRA;2013;39528.5;11634.9
FRA;2014;40144.1;11808.9
FRA;2015;40840.8;11796.1
GBR;2007;35409.5;7090.1
GBR;2008;36416.5;7412.1
GBR;2009;34777.9;7915.9
GBR;2010;36016.3;8045.4
GBR;2011;36805.1;8003.3
GBR;2012;37908.5;8106
GBR;2013;39519.1;8320.3
GBR;2014;40877.7;8269.3
GBR;2015;42055.1;8292.3
GRC;2007;29291.9;6423
GRC;2008;30855.9;6652.6
GRC;2009;30365.4;7155.4
GRC;2010;28148.3;7001.9
GRC;2011;26141.1;6675.9
GRC;2012;25284.4;6423.2
GRC;2013;26097.8;5843.6
GRC;2014;26838.6;5945.9
GRC;2015;26902.3;6027.6
HUN;2007;19030.1;5071.3
HUN;2008;20678.7;5178.8
HUN;2009;20651.8;4972.9
HUN;2010;21534.9;4965.4
HUN;2011;22841.2;4913.2
HUN;2012;23094.5;4922.5
HUN;2013;24464.1;4950.5
HUN;2014;25518.2;5004.3
HUN;2015;26356.3;5031.1
IRL;2007;46746.5;8060.8
IRL;2008;44219.8;8949
IRL;2009;41587.1;10142.5
IRL;2010;43298.7;10638.7
IRL;2011;44870.5;10516.2
IRL;2012;46277.6;10350.2
IRL;2013;47936.4;9968.1
IRL;2014;51125.9;9902.5
IRL;2015;69147;9397.8
ISL;2007;41182.2;6281.2
ISL;2008;43049;6412.2
ISL;2009;41813.3;6884.8
ISL;2010;39582.1;6514
ISL;2011;40769;6670.8
ISL;2012;41928.4;6580.7
ISL;2013;44152.6;6609.8
ISL;2014;45712.8;6733.7
ISL;2015;48856.6;6589.2
ISR;2007;27341.5;4038.4
ISR;2008;27275.3;4129.3
ISR;2009;27514.3;4266.8
ISR;2010;28872.4;4452.3
ISR;2011;30550.7;4522.5
ISR;2012;31707;4628.4
ISR;2013;34160.4;4729.1
ISR;2014;34228.1;4808.6
ISR;2015;35449.5;4852.4
ISR;2016;37474.7;4928
ISR;2017;38882.1;5171.6
ITA;2007;33794.6;8968.3
ITA;2008;35154.8;9151.1
ITA;2009;34234.2;9293.4
ITA;2010;34685;9417.1
ITA;2011;35935.5;9323.7
ITA;2012;35757;9283.3
ITA;2013;35885.4;9266.8
ITA;2014;36070.8;9320.3
ITA;2015;36836.4;9456.9
JPN;2007;34507.2;6406.8
JPN;2008;34803.7;6622.9
JPN;2009;33202;7161.8
JPN;2010;34994.4;7512.3
JPN;2011;35775.3;7915.1
JPN;2012;37213.8;8037.5
JPN;2013;39008.4;8149.7
JPN;2014;39183.5;8116.2
