LOCATION;TIME;Alcohol;Smokers;Cancer;Suicide;LifeAtOld;LifeAtBirth;Obese
AUS;2007;10.8;16.9;203;10.6;20.1;81.4;61.2
AUS;2007;10.8;16.9;203;10.6;20.1;81.4;56
AUS;2008;10.6;;207.9;10.9;20.1;81.5;
AUS;2009;10.5;;200.8;10.7;20.2;81.6;
AUS;2010;10.3;15.4;201.8;10.9;20.4;81.8;
AUS;2011;10;;199.6;10.7;20.6;82;63.4
AUS;2012;9.9;;193.1;11.4;20.6;82.1;
AUS;2013;9.8;13;192.3;11.3;20.6;82.2;
AUS;2014;9.5;;187.8;12.5;20.8;82.4;63.4
AUS;2015;9.7;;190.4;12.9;20.9;82.5;
AUS;2016;9.4;12.4;185;11.9;20.9;82.5;
AUS;2017;;;;;21;82.6;65.2
AUS;2017;;;;;21;82.6;47.6
AUT;2007;12.9;;207.1;14.6;19.2;80.3;
AUT;2008;12.4;;212;14.1;19.4;80.5;
AUT;2009;12.1;;206.8;14.1;19.4;80.4;
AUT;2010;12.5;;204;13.9;19.6;80.7;
AUT;2011;12.2;;202.9;14.1;19.9;81.1;
AUT;2012;12.4;;201.9;13.7;19.7;81;
AUT;2013;12;;197.1;13.6;19.9;81.2;
AUT;2014;12.4;24.3;197.2;13.9;20.1;81.6;46.7
AUT;2015;11.6;;192.1;12.9;19.7;81.3;
AUT;2016;11.8;;187.3;12.2;20.1;81.7;
AUT;2017;;;184.7;12.4;20;81.7;
BEL;2007;10.3;;220.5;16.7;19.1;79.9;
BEL;2008;10.5;20.5;222;17.9;19.1;79.8;47.5
BEL;2009;10.1;;216.4;17.9;19.4;80.1;
BEL;2010;10.3;;217.1;17.8;19.4;80.3;
BEL;2011;10.1;;213.6;18.1;19.8;80.7;
BEL;2012;10.1;;207;17.4;19.5;80.5;
BEL;2013;10.3;18.9;205;16.2;19.6;80.7;48.1
BEL;2014;10.6;;199.4;16.1;20.1;81.4;51
BEL;2015;10.4;;197.5;15.8;19.9;81.1;
BEL;2016;;;193.9;15.9;20.1;81.5;
BEL;2017;;;;;20.2;81.6;
BRA;2007;7.1;15.6;161.1;5.4;17.5;72.8;
BRA;2008;7.1;14.8;161.4;5.5;17.6;73.2;
BRA;2009;7.2;14.3;160.7;5.5;17.7;73.5;
BRA;2010;7.4;14.1;162.3;5.4;17.8;73.9;
BRA;2011;7.4;13.4;161.4;5.6;17.5;74.2;
BRA;2012;7.3;12.1;162;5.8;17.9;74.5;
BRA;2013;7.1;11.3;161.2;5.8;17.9;74.8;
BRA;2014;7.2;8.7;160.3;5.7;18.1;75;
BRA;2015;7;7.2;161.2;6;18.2;75.3;
BRA;2016;6.3;10.2;;;;75.5;
BRA;2017;;10.1;;;;75.7;
CAN;2007;8.3;18.2;221.8;10.6;1,945;80.4;49.1
CAN;2008;8.4;17.5;218.1;10.7;196;80.6;60
CAN;2008;8.4;17.5;218.1;10.7;196;80.6;49.5
CAN;2009;8.4;16.2;214.3;11.1;1,975;80.8;50
CAN;2010;8.4;16.3;210.6;11.1;1,995;81.1;58.6
CAN;2010;8.4;16.3;210.6;11.1;1,995;81.1;50.6
CAN;2011;8.2;15.7;208.5;10.8;201;81.3;50.5
CAN;2012;8.3;16.1;205.6;10.8;203;81.5;50.9
CAN;2013;8.2;14.9;203;11.1;2,045;81.7;60.3
CAN;2013;8.2;14.9;203;11.1;2,045;81.7;52.1
CAN;2014;8;14;208.8;11.5;2,055;81.8;52.5
CAN;2015;8;13.1;196.8;11.8;206;81.9;64.1
CAN;2015;8;13.1;196.8;11.8;206;81.9;52.4
CAN;2016;8.1;12.5;;;207;82;53.1
CAN;2017;8.1;12;;;207;82;59.1
CAN;2017;8.1;12;;;207;82;53.8
CHE;2007;10.4;20.4;190.6;16.9;204;82;37.3
CHE;2008;10.2;;185.7;16;206;82.2;
CHE;2009;10.1;;183.2;13.4;206;82.3;
CHE;2010;10;;181.6;11.9;2,075;82.6;
CHE;2011;10;;181.2;12.1;209;82.8;
CHE;2012;9.9;20.4;177.7;12;208;82.8;41
CHE;2013;9.8;;175.9;12.2;209;82.9;
CHE;2014;9.5;;172.9;11.4;2,115;83.3;
CHE;2015;9.5;;174.3;11.9;209;83;
CHE;2016;9.3;;171.8;11.2;2,145;83.7;
CHE;2017;9.2;19.1;;;214;83.6;41.8
CHL;2007;7.4;;201.2;11.8;175;77.5;
CHL;2008;7.4;;198.4;13.1;181;78.1;
CHL;2009;7.2;29.8;206.5;13.3;183;78.2;64.5
CHL;2009;7.2;29.8;206.5;13.3;183;78.2;55.5
CHL;2010;7.6;;204.4;12.2;179;78;
CHL;2011;7.1;;202.2;12.3;184;78.7;
CHL;2012;8.3;;201.8;11;1,825;78.7;
CHL;2013;7.2;;196.3;10.3;191;79.5;
CHL;2014;7.9;;193.9;10.4;1,925;79.7;
CHL;2015;7.9;;193.2;10.7;1,945;79.9;48.3
CHL;2016;7.9;24.5;230.2;10.7;1,965;80.2;74.2
CHN;2007;3.9;;;;;74.6;
CHN;2008;4.3;;;;;74.9;
CHN;2009;4.9;26.5;;;;75.1;
