alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
-1,-1,-1,-1,-1,-1,3.7,-1,-1,-1,AFG,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,4.4,-1,-1,-1,AFG,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,4.8,100,-1,-1,AFG,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,3.8,100,-1,-1,AFG,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,3.8,100,-1,-1,AFG,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,3.6,100,-1,-1,AFG,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,3.1,100,-1,-1,AFG,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,4,100,-1,-1,AFG,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,4.2,100,-1,-1,AFG,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,2.7,100,-1,-1,AFG,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,AGO,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5.6,100,-1,-1,AGO,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4.4,100,-1,-1,AGO,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,3.9,100,-1,-1,AGO,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,3.8,100,-1,-1,AGO,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,AGO,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,AGO,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,AGO,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,4.6,-1,-1,-1,ALB,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,5.5,-1,-1,-1,ALB,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,5.3,99,-1,-1,ALB,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5.9,99,-1,-1,ALB,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,5.5,99,-1,-1,ALB,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,4.6,99,-1,-1,ALB,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,4.8,99,-1,-1,ALB,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,4.6,99,-1,-1,ALB,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,4.5,99,-1,-1,ALB,-1,-1,-1,-1,-1,2016
