LOCATION,TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
AFG,2008,,,,,,3.7,,,,,,,,,
AFG,2009,,,,,,4.4,,,,,,,,,
AFG,2010,,100.0,,,,4.8,,,,,,,,,
AFG,2011,,100.0,,,,3.8,,,,,,,,,
AFG,2012,,100.0,,,,3.8,,,,,,,,,
AFG,2013,,100.0,,,,3.6,,,,,,,,,
AFG,2014,,100.0,,,,3.1,,,,,,,,,
AFG,2015,,100.0,,,,4.0,,,,,,,,,
AFG,2016,,100.0,,,,4.2,,,,,,,,,
AFG,2017,,100.0,,,,2.7,,,,,,,,,
AGO,2010,,100.0,,,,,,,,,,,,,
AGO,2011,,100.0,,,,5.6,,,,,,,,,
AGO,2012,,100.0,,,,4.4,,,,,,,,,
AGO,2013,,100.0,,,,3.9,,,,,,,,,
AGO,2014,,100.0,,,,3.8,,,,,,,,,
AGO,2015,,100.0,,,,,,,,,,,,,
AGO,2016,,100.0,,,,,,,,,,,,,
AGO,2017,,100.0,,,,,,,,,,,,,
ALB,2007,,,,,,4.6,,,,,,,,,
ALB,2009,,,,,,5.5,,,,,,,,,
ALB,2010,,99.0,,,,5.3,,,,,,,,,
ALB,2011,,99.0,,,,5.9,,,,,,,,,
ALB,2012,,99.0,,,,5.5,,,,,,,,,
ALB,2013,,99.0,,,,4.6,,,,,,,,,
ALB,2014,,99.0,,,,4.8,,,,,,,,,
ALB,2015,,99.0,,,,4.6,,,,,,,,,
ALB,2016,,99.0,,,,4.5,,,,,,,,,
ALB,2017,,99.0,,,,4.6,,,,,,,,,
ARE,2009,,,,,,6.9,,,,,,,,,
ARE,2010,,99.4,,,,7.1,,,,,,,,,
ARE,2011,,99.4,,,,7.1,,,,,,,,,
ARE,2012,,99.4,,,,7.2,,,,,,,,,
ARE,2013,,99.4,,,,6.6,,,,,,,,,
ARE,2014,,99.4,,,,6.5,,,,,,,,,
ARE,2015,,99.4,,,,6.6,,,,,,,,,
ARE,2016,,99.4,,,,6.8,,,,,,,,,
ARE,2017,,99.4,,,,7.0,,,,,,,,,
ARG,2007,,,,,17128.8,6.1,,,,,,,,,
ARG,2008,35.2,,,,17995.0,6.0,,,,,,,,,
ARG,2009,35.7,,,,16893.6,6.4,,,,,,,,,
ARG,2010,,99.5,,,18529.3,6.4,,,,,,,,,
ARG,2011,37.0,99.5,,,19817.5,6.8,,,,,,,,,
ARG,2012,38.0,99.3,,,19749.5,6.5,,,,,,,,,
ARG,2013,38.3,99.0,,,20322.5,6.6,,,,,,,,,
ARG,2014,38.2,98.4,,,19946.9,6.7,,,,,,,,,
ARG,2015,,98.3,,,20491.8,6.7,,,,,,,,,
ARG,2016,,96.0,,,20257.8,6.4,,,,,,,,,
ARG,2017,40.1,96.0,,,21064.2,6.0,,,,,,,,,
ARM,2007,,,,,,4.9,,,,,,,,,
ARM,2008,,,,,,4.7,,,,,,,,,
ARM,2009,,,,,,4.2,,,,,,,,,
ARM,2010,,100.0,,,,4.4,,,,,,,,,
ARM,2011,,100.0,,,,4.3,,,,,,,,,
ARM,2012,,100.0,,,,4.3,,,,,,,,,
ARM,2013,,100.0,,,,4.3,,,,,,,,,
ARM,2014,,100.0,,,,4.5,,,,,,,,,
ARM,2015,,100.0,,,,4.3,,,,,,,,,
ARM,2016,,100.0,,,,4.3,,,,,,,,,
ARM,2017,,100.0,,,,4.3,,,,,,,,,
AUS,2007,34.4,,50565.4,1722.6,39612.9,7.3,6612.4,72.8,10.8,16.9,203.0,10.6,20.1,81.4,61.2
AUS,2007,34.4,,50565.4,1722.6,39612.9,7.3,6612.4,72.8,10.8,16.9,203.0,10.6,20.1,81.4,56.0
AUS,2008,33.8,,50973.2,1720.9,40094.8,7.3,7097.9,73.2,10.6,,207.9,10.9,20.1,81.5,
AUS,2009,34.1,,50511.0,1692.3,41613.6,,7066.6,72.1,10.5,,200.8,10.7,20.2,81.6,
AUS,2010,35.6,34.1,52253.0,1699.9,42812.1,7.5,6997.0,72.4,10.3,15.4,201.8,10.9,20.4,81.8,
AUS,2011,35.7,37.6,53905.8,1699.9,44419.3,7.4,7342.4,72.7,10.0,,199.6,10.7,20.6,82.0,63.4
AUS,2012,35.2,31.7,54226.2,1692.5,43879.2,7.2,7514.1,72.3,9.9,,193.1,11.4,20.6,82.1,
AUS,2013,36.2,29.7,53977.4,1689.4,47761.2,7.4,7744.2,72.0,9.8,13.0,192.3,11.3,20.6,82.2,
AUS,2014,35.2,28.3,54391.8,1683.3,47638.6,7.3,8095.5,71.6,9.5,,187.8,12.5,20.8,82.4,63.4
AUS,2015,36.1,27.4,53946.3,1683.5,47351.0,7.3,8328.1,72.2,9.7,,190.4,12.9,20.9,82.5,
AUS,2016,36.2,26.0,53971.6,1673.4,50262.6,7.3,8029.1,72.4,9.4,12.4,185.0,11.9,20.9,82.5,
AUS,2017,35.6,26.0,53507.3,1674.9,51993.8,7.3,,73.0,,,,,21,82.6,65.2
AUS,2017,35.6,26.0,53507.3,1674.9,51993.8,7.3,,73.0,,,,,21,82.6,47.6
AUT,2007,54.8,,48644.6,1612.0,39394.0,,10695.2,69.9,12.9,,207.1,14.6,19.2,80.3,
AUT,2008,54.7,,49509.4,1605.0,41316.0,7.2,11001.9,70.8,12.4,,212.0,14.1,19.4,80.5,
AUT,2009,54.7,,50312.2,1564.0,40935.5,,11370.2,70.3,12.1,,206.8,14.1,19.4,80.4,
AUT,2010,54.6,98.8,50096.7,1557.0,42017.8,7.3,11592.2,70.8,12.5,,204.0,13.9,19.6,80.7,
AUT,2011,54.4,99.4,49578.9,1562.0,44469.2,7.5,11538.8,71.1,12.2,,202.9,14.1,19.9,81.1,
AUT,2012,54.2,98.0,49835.1,1540.0,46477.7,7.4,11723.2,71.4,12.4,,201.9,13.7,19.7,81.0,
AUT,2013,53.2,96.7,49896.5,1525.0,47936.7,7.5,11829.5,71.4,12.0,,197.1,13.6,19.9,81.2,
AUT,2014,54.0,95.1,50082.8,1516.0,48813.5,6.9,11930.0,71.1,12.4,24.3,197.2,13.9,20.1,81.6,46.7
AUT,2015,54.1,93.0,50373.8,1500.0,49955.5,7.1,11926.1,71.1,11.6,,192.1,12.9,19.7,81.3,
AUT,2016,53.1,87.0,50906.0,1512.0,51790.9,7.0,,71.5,11.8,,187.3,12.2,20.1,81.7,
AUT,2017,52.6,87.0,50851.4,1511.0,53952.3,7.3,,72.2,,,184.7,12.4,20,81.7,
AZE,2007,,,,,,4.6,,,,,,,,,
AZE,2008,,,,,,4.8,,,,,,,,,
AZE,2009,,,,,,4.6,,,,,,,,,
AZE,2010,,99.9,,,,4.2,,,,,,,,,
AZE,2011,,99.9,,,,4.7,,,,,,,,,
AZE,2012,,99.9,,,,4.9,,,,,,,,,
AZE,2013,,99.9,,,,5.5,,,,,,,,,
AZE,2014,,99.9,,,,5.3,,,,,,,,,
AZE,2015,,99.9,,,,5.1,,,,,,,,,
AZE,2016,,99.9,,,,5.3,,,,,,,,,
AZE,2017,,99.9,,,,5.2,,,,,,,,,
BDI,2008,,,,,,3.6,,,,,,,,,
BDI,2009,,,,,,3.8,,,,,,,,,
BDI,2010,,100.0,,,,,,,,,,,,,
BDI,2011,,100.0,,,,3.7,,,,,,,,,
BDI,2012,,100.0,,,,,,,,,,,,,
BDI,2013,,100.0,,,,,,,,,,,,,
BDI,2014,,100.0,,,,2.9,,,,,,,,,
BDI,2015,,100.0,,,,,,,,,,,,,
BDI,2016,,100.0,,,,,,,,,,,,,
BDI,2017,,100.0,,,,,,,,,,,,,
BEL,2007,35.9,,50575.4,1577.0,36871.6,7.2,10108.8,62.0,10.3,,220.5,16.7,19.1,79.9,
BEL,2008,37.3,,50725.0,1570.0,38133.4,7.1,10663.7,62.4,10.5,20.5,222.0,17.9,19.1,79.8,47.5
BEL,2009,37.2,,51159.3,1548.0,38010.5,,11244.1,61.6,10.1,,216.4,17.9,19.4,80.1,
BEL,2010,35.5,99.6,50872.5,1546.0,40050.4,6.9,11338.9,62.0,10.3,,217.1,17.8,19.4,80.3,
BEL,2011,36.7,99.5,51204.9,1560.0,41450.4,7.1,11621.0,61.9,10.1,,213.6,18.1,19.8,80.7,
BEL,2012,36.3,98.7,51550.6,1560.0,42585.2,6.9,11551.8,61.8,10.1,,207.0,17.4,19.5,80.5,
BEL,2013,37.2,97.8,52221.6,1558.0,43746.0,7.1,11727.6,61.8,10.3,18.9,205.0,16.2,19.6,80.7,48.1
BEL,2014,36.7,95.8,52514.3,1545.0,44720.5,6.9,11915.6,61.9,10.6,,199.4,16.1,20.1,81.4,51.0
BEL,2015,37.8,96.3,52120.1,1545.0,45739.2,6.9,11917.4,61.8,10.4,,197.5,15.8,19.9,81.1,
BEL,2016,37.6,93.3,51951.7,1545.0,47366.4,6.9,,62.3,,,193.9,15.9,20.1,81.5,
BEL,2017,36.5,93.5,51736.1,1545.0,49525.7,6.9,,63.1,,,,,20.2,81.6,
BEN,2008,,,,,,3.7,,,,,,,,,
BEN,2010,,100.0,,,,,,,,,,,,,
BEN,2011,,100.0,,,,3.9,,,,,,,,,
BEN,2012,,100.0,,,,3.2,,,,,,,,,
BEN,2013,,100.0,,,,3.5,,,,,,,,,
BEN,2014,,100.0,,,,3.3,,,,,,,,,
BEN,2015,,100.0,,,,3.6,,,,,,,,,
BEN,2016,,100.0,,,,4.0,,,,,,,,,
BEN,2017,,100.0,,,,4.9,,,,,,,,,
BFA,2007,,,,,,4.0,,,,,,,,,
BFA,2008,,,,,,3.8,,,,,,,,,
BFA,2010,,100.0,,,,4.0,,,,,,,,,
BFA,2011,,100.0,,,,4.8,,,,,,,,,
BFA,2012,,100.0,,,,4.0,,,,,,,,,
