TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
2014,54.0,95.1,50082.8,1516.0,48813.5,6.9,11930.0,71.1,12.4,24.3,197.2,13.9,20.1,81.6,46.7
2013,37.2,97.8,52221.6,1558.0,43746.0,7.1,11727.6,61.8,10.3,18.9,205.0,16.2,19.6,80.7,48.1
2010,38.0,13.7,45502.6,1715.0,40106.2,7.7,7028.2,71.5,8.4,16.3,210.6,11.1,1995.0,81.1,58.6
2010,38.0,13.7,45502.6,1715.0,40106.2,7.7,7028.2,71.5,8.4,16.3,210.6,11.1,1995.0,81.1,50.6
2011,37.6,18.3,46203.4,1713.0,41662.5,7.4,6943.9,71.8,8.2,15.7,208.5,10.8,201.0,81.3,50.5
2012,36.7,8.8,47275.5,1722.0,42246.7,7.4,7009.8,72.0,8.3,16.1,205.6,10.8,203.0,81.5,50.9
2013,36.6,7.1,48191.6,1716.0,44211.0,7.6,6993.5,72.4,8.2,14.9,203.0,11.1,2045.0,81.7,60.3
2013,36.6,7.1,48191.6,1716.0,44211.0,7.6,6993.5,72.4,8.2,14.9,203.0,11.1,2045.0,81.7,52.1
2014,36.4,2.6,48717.5,1710.0,45627.6,7.3,7047.4,72.3,8.0,14.0,208.8,11.5,2055.0,81.8,52.5
2015,35.2,0.9,48979.3,1712.0,44671.4,7.4,7456.2,72.5,8.0,13.1,196.8,11.8,206.0,81.9,64.1
2015,35.2,0.9,48979.3,1712.0,44671.4,7.4,7456.2,72.5,8.0,13.1,196.8,11.8,206.0,81.9,52.4
2012,50.4,93.1,63207.3,1603.2,57849.6,7.8,8161.7,78.5,9.9,20.4,177.7,12.0,208.0,82.8,41.0
2010,75.2,100.0,22944.5,1800.0,27554.7,6.2,5439.7,65.0,11.4,22.8,250.3,13.5,1725.0,77.7,55.0
2014,71.7,100.0,23324.3,1777.0,32265.0,6.5,5751.1,69.0,11.9,22.3,225.8,13.3,1795.0,78.9,55.4
2013,57.8,98.1,46277.2,1362.7,45232.0,7.0,10280.4,73.5,11.7,20.9,204.8,10.8,1935.0,80.6,52.4
2010,42.4,95.6,52263.9,1422.0,43004.9,7.8,12308.1,73.3,10.3,20.9,252.5,9.8,1835.0,79.3,46.7
2013,42.8,79.5,52260.7,1426.0,46742.9,7.6,12549.3,72.5,9.4,17.0,238.3,10.3,1905.0,80.4,47.4
2011,22.1,80.2,40452.8,1715.5,31872.4,6.5,8006.2,58.0,9.0,23.9,197.7,6.3,209.0,82.6,52.7
2014,21.9,53.1,39397.8,1694.6,33544.4,6.5,7741.4,56.0,8.7,23.0,185.8,7.6,214.0,83.3,51.5
2012,52.3,1.8,21161.9,1820.0,25973.3,5.4,3862.9,67.2,12.1,26.0,233.3,16.6,1755.0,76.5,48.9
2014,50.6,0.7,22570.8,1795.0,28936.5,5.6,4230.2,69.6,11.1,22.1,237.0,17.5,178.0,77.2,52.0
2014,50.6,0.7,22570.8,1795.0,28936.5,5.6,4230.2,69.6,11.1,22.1,237.0,17.5,178.0,77.2,51.3
2010,44.8,1.3,43535.2,1592.0,38737.1,7.4,10601.6,68.2,9.7,19.0,182.5,17.3,195.0,80.2,49.7
2011,44.4,1.3,43684.9,1587.0,40683.3,7.4,10722.8,69.0,9.8,17.8,178.4,16.4,197.0,80.6,65.0
2011,44.4,1.3,43684.9,1587.0,40683.3,7.4,10722.8,69.0,9.8,17.8,178.4,16.4,197.0,80.6,50.8
2012,45.1,0.0,43715.2,1575.0,40619.9,7.4,11009.1,69.4,9.3,17.0,176.5,15.6,197.0,80.7,58.0
2012,45.1,0.0,43715.2,1575.0,40619.9,7.4,11009.1,69.4,9.3,17.0,176.5,15.6,197.0,80.7,49.4
2013,45.3,0.0,43245.3,1565.0,41293.3,7.4,11288.1,68.9,9.1,15.8,175.8,15.8,199.0,81.1,49.9
2014,44.7,0.0,43229.1,1562.0,41462.7,7.4,11460.6,68.7,8.8,15.4,172.3,14.1,1995.0,81.3,52.1
2015,44.4,0.0,43617.3,1563.0,42213.5,7.4,11514.6,68.5,8.5,17.4,172.8,13.1,201.0,81.6,56.0
2010,41.8,99.3,42435.4,1540.0,35909.2,6.8,11180.0,64.0,12.3,23.3,207.7,15.9,2115.0,81.8,42.9
2012,41.7,98.5,42654.4,1541.0,37684.2,6.6,11438.9,64.0,12.2,24.1,201.2,14.6,2125.0,82.1,44.4
2014,43.8,88.8,43308.8,1518.0,40144.1,6.5,11808.9,63.6,12.0,22.4,196.8,13.1,2185.0,82.8,46.1
2010,36.9,86.9,45526.6,1506.0,36016.3,7.0,8045.4,69.4,10.1,20.0,226.3,6.7,195.0,80.6,62.8
2011,37.4,89.4,44375.7,1518.0,36805.1,6.9,8003.3,69.3,9.9,20.0,225.2,6.9,198.0,81.0,61.7
2012,37.1,83.8,44006.8,1531.0,37908.5,6.9,8106.0,70.0,9.6,20.0,225.8,6.9,197.0,81.0,61.9
2013,37.3,81.5,44141.4,1541.0,39519.1,6.9,8320.3,70.5,9.4,19.0,221.9,7.5,1975.0,81.1,62.1
2014,36.9,71.0,43782.3,1547.0,40877.7,6.8,8269.3,71.9,9.4,19.0,219.7,7.4,2005.0,81.4,61.7
2015,35.4,70.8,44125.7,1531.0,42055.1,6.5,8292.3,72.7,9.5,17.8,217.7,7.5,197.0,81.0,62.9
2014,40.2,99.6,26803.2,1933.0,26838.6,4.8,5945.9,49.4,7.0,27.3,199.0,4.7,2025.0,81.5,56.2
2014,59.7,100.0,20707.5,1751.7,25518.2,5.2,5004.3,61.8,10.9,25.8,282.7,17.8,166.0,75.9,62.3
2014,59.7,100.0,20707.5,1751.7,25518.2,5.2,5004.3,61.8,10.9,25.8,282.7,17.8,166.0,75.9,54.5
2015,37.0,5.2,47244.9,1741.0,69147.0,6.8,9397.8,64.8,10.7,19.0,219.2,9.3,197.0,81.5,61.0
2015,37.0,5.2,47244.9,1741.0,69147.0,6.8,9397.8,64.8,10.7,19.0,219.2,9.3,197.0,81.5,53.0
2012,35.8,7.0,48049.7,1510.0,41928.4,7.6,6580.7,79.7,6.8,13.8,202.7,11.6,208.0,83.0,63.3
2015,35.9,6.4,53261.7,1504.0,48856.6,7.5,6589.2,84.7,7.7,10.9,194.4,12.3,204.0,82.5,57.6
2010,36.5,100.0,34997.4,1956.5,28872.4,7.4,4452.3,60.2,2.6,18.5,189.2,7.4,2005.0,81.7,49.8
2013,37.6,100.0,33428.2,1908.2,34160.4,7.3,4729.1,67.1,2.9,16.2,179.8,5.5,2025.0,82.1,51.8
2014,36.8,100.0,33516.0,1894.5,34228.1,7.4,4808.6,67.9,2.7,17.1,178.8,5.5,2035.0,82.2,54.5
2016,36.9,100.0,35701.4,1922.1,37474.7,7.2,4928.0,68.6,2.6,19.6,171.4,5.4,2055.0,82.5,53.1
2010,40.4,97.8,39051.1,1777.3,34685.0,6.4,9417.1,56.8,7.0,23.1,207.1,5.8,202.0,82.1,46.0
