"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PRIV","PC_GDP","A","1980",1.223,
"AUS","SOCEXP","PRIV","PC_GDP","A","1981",1.392,
"AUS","SOCEXP","PRIV","PC_GDP","A","1982",1.678,
"AUS","SOCEXP","PRIV","PC_GDP","A","1983",1.345,
"AUS","SOCEXP","PRIV","PC_GDP","A","1984",0.862,
"AUS","SOCEXP","PRIV","PC_GDP","A","1985",0.837,
"AUS","SOCEXP","PRIV","PC_GDP","A","1986",0.944,
"AUS","SOCEXP","PRIV","PC_GDP","A","1987",0.925,
"AUS","SOCEXP","PRIV","PC_GDP","A","1988",0.976,
"AUS","SOCEXP","PRIV","PC_GDP","A","1989",1.01,
"AUS","SOCEXP","PRIV","PC_GDP","A","1990",1.096,
"AUS","SOCEXP","PRIV","PC_GDP","A","1991",1.204,
"AUS","SOCEXP","PRIV","PC_GDP","A","1992",1.236,
"AUS","SOCEXP","PRIV","PC_GDP","A","1993",1.397,
"AUS","SOCEXP","PRIV","PC_GDP","A","1994",1.419,
"AUS","SOCEXP","PRIV","PC_GDP","A","1995",3.295,
"AUS","SOCEXP","PRIV","PC_GDP","A","1996",3.526,
"AUS","SOCEXP","PRIV","PC_GDP","A","1997",3.858,
"AUS","SOCEXP","PRIV","PC_GDP","A","1998",3.54,
"AUS","SOCEXP","PRIV","PC_GDP","A","1999",4.027,
"AUS","SOCEXP","PRIV","PC_GDP","A","2000",3.718,
"AUS","SOCEXP","PRIV","PC_GDP","A","2001",4.011,
"AUS","SOCEXP","PRIV","PC_GDP","A","2002",3.962,
"AUS","SOCEXP","PRIV","PC_GDP","A","2003",3.489,
"AUS","SOCEXP","PRIV","PC_GDP","A","2004",2.746,
"AUS","SOCEXP","PRIV","PC_GDP","A","2005",2.848,
"AUS","SOCEXP","PRIV","PC_GDP","A","2006",2.882,
"AUS","SOCEXP","PRIV","PC_GDP","A","2007",5.187,
"AUS","SOCEXP","PRIV","PC_GDP","A","2008",4.443,
"AUS","SOCEXP","PRIV","PC_GDP","A","2009",4.332,
"AUS","SOCEXP","PRIV","PC_GDP","A","2010",4.343,
"AUS","SOCEXP","PRIV","PC_GDP","A","2011",4.633,
"AUS","SOCEXP","PRIV","PC_GDP","A","2012",4.851,
"AUS","SOCEXP","PRIV","PC_GDP","A","2013",5.082,
"AUS","SOCEXP","PRIV","PC_GDP","A","2014",5.659,
"AUS","SOCEXP","PRIV","PC_GDP","A","2015",5.841,
"AUS","SOCEXP","PRIV","PC_GDP","A","2016",4.851,
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.264,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.136,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.112,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.616,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.996,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.089,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.92,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.17,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.464,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.602,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.14,
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.307,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.287,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.547,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.272,
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.915,
