alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
,,,,,,3.7,,,,AFG,,,,,,2008
,,,,,,4.4,,,,AFG,,,,,,2009
,,,,,,4.8,100,,,AFG,,,,,,2010
,,,,,,3.8,100,,,AFG,,,,,,2011
,,,,,,3.8,100,,,AFG,,,,,,2012
,,,,,,3.6,100,,,AFG,,,,,,2013
,,,,,,3.1,100,,,AFG,,,,,,2014
,,,,,,4,100,,,AFG,,,,,,2015
,,,,,,4.2,100,,,AFG,,,,,,2016
,,,,,,2.7,100,,,AFG,,,,,,2017
,,,,,,,100,,,AGO,,,,,,2010
,,,,,,5.6,100,,,AGO,,,,,,2011
,,,,,,4.4,100,,,AGO,,,,,,2012
,,,,,,3.9,100,,,AGO,,,,,,2013
,,,,,,3.8,100,,,AGO,,,,,,2014
,,,,,,,100,,,AGO,,,,,,2015
,,,,,,,100,,,AGO,,,,,,2016
,,,,,,,100,,,AGO,,,,,,2017
,,,,,,4.6,,,,ALB,,,,,,2007
,,,,,,5.5,,,,ALB,,,,,,2009
,,,,,,5.3,99,,,ALB,,,,,,2010
,,,,,,5.9,99,,,ALB,,,,,,2011
,,,,,,5.5,99,,,ALB,,,,,,2012
,,,,,,4.6,99,,,ALB,,,,,,2013
,,,,,,4.8,99,,,ALB,,,,,,2014
,,,,,,4.6,99,,,ALB,,,,,,2015
,,,,,,4.5,99,,,ALB,,,,,,2016
,,,,,,4.6,99,,,ALB,,,,,,2017
,,,,,,6.9,,,,ARE,,,,,,2009
,,,,,,7.1,99.4,,,ARE,,,,,,2010
,,,,,,7.1,99.4,,,ARE,,,,,,2011
,,,,,,7.2,99.4,,,ARE,,,,,,2012
,,,,,,6.6,99.4,,,ARE,,,,,,2013
,,,,,,6.5,99.4,,,ARE,,,,,,2014
,,,,,,6.6,99.4,,,ARE,,,,,,2015
,,,,,,6.8,99.4,,,ARE,,,,,,2016
,,,,,,7,99.4,,,ARE,,,,,,2017
,,,,,17128.8,6.1,,,,ARG,,,,,,2007
,35.2,,,,17995,6,,,,ARG,,,,,,2008
,35.7,,,,16893.6,6.4,,,,ARG,,,,,,2009
,,,,,18529.3,6.4,99.5,,,ARG,,,,,,2010
,37,,,,19817.5,6.8,99.5,,,ARG,,,,,,2011
,38,,,,19749.5,6.5,99.3,,,ARG,,,,,,2012
,38.3,,,,20322.5,6.6,99,,,ARG,,,,,,2013
,38.2,,,,19946.9,6.7,98.4,,,ARG,,,,,,2014
,,,,,20491.8,6.7,98.3,,,ARG,,,,,,2015
,,,,,20257.8,6.4,96,,,ARG,,,,,,2016
,40.1,,,,21064.2,6,96,,,ARG,,,,,,2017
,,,,,,4.9,,,,ARM,,,,,,2007
,,,,,,4.7,,,,ARM,,,,,,2008
,,,,,,4.2,,,,ARM,,,,,,2009
,,,,,,4.4,100,,,ARM,,,,,,2010
,,,,,,4.3,100,,,ARM,,,,,,2011
,,,,,,4.3,100,,,ARM,,,,,,2012
,,,,,,4.3,100,,,ARM,,,,,,2013
,,,,,,4.5,100,,,ARM,,,,,,2014
,,,,,,4.3,100,,,ARM,,,,,,2015
,,,,,,4.3,100,,,ARM,,,,,,2016
,,,,,,4.3,100,,,ARM,,,,,,2017
10.8,34.4,203,50565.4,72.8,39612.9,7.3,,81.4,20.1,AUS,58.6,1722.6,16.9,6612.4,10.6,2007
10.6,33.8,207.9,50973.2,73.2,40094.8,7.3,,81.5,20.1,AUS,,1720.9,,7097.9,10.9,2008
10.5,34.1,200.8,50511,72.1,41613.6,,,81.6,20.2,AUS,,1692.3,,7066.6,10.7,2009
10.3,35.6,201.8,52253,72.4,42812.1,7.5,34.1,81.8,20.4,AUS,,1699.9,15.4,6997,10.9,2010
10,35.7,199.6,53905.8,72.7,44419.3,7.4,37.6,82,20.6,AUS,63.4,1699.9,,7342.4,10.7,2011
