alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time,hours_worked,gdp,education
,,,,3.7,,,AFG,,,,,,2008.0,,,
,,,,4.4,,,AFG,,,,,,2009.0,,,
,,,,4.8,,,AFG,,,,,,2010.0,,,
,,,,3.8,,,AFG,,,,,,2011.0,,,
,,,,3.8,,,AFG,,,,,,2012.0,,,
,,,,3.6,,,AFG,,,,,,2013.0,,,
,,,,3.1,,,AFG,,,,,,2014.0,,,
,,,,4,,,AFG,,,,,,2015.0,,,
,,,,4.2,,,AFG,,,,,,2016.0,,,
,,,,2.7,,,AFG,,,,,,2017.0,,,
,,,,,,,AGO,,,,,,2010.0,,,
,,,,5.6,,,AGO,,,,,,2011.0,,,
,,,,4.4,,,AGO,,,,,,2012.0,,,
,,,,3.9,,,AGO,,,,,,2013.0,,,
,,,,3.8,,,AGO,,,,,,2014.0,,,
,,,,,,,AGO,,,,,,2015.0,,,
,,,,,,,AGO,,,,,,2016.0,,,
,,,,,,,AGO,,,,,,2017.0,,,
,,,,4.6,,,ALB,,,,,,2007.0,,,
,,,,5.5,,,ALB,,,,,,2009.0,,,
,,,,5.3,,,ALB,,,,,,2010.0,,,
,,,,5.9,,,ALB,,,,,,2011.0,,,
,,,,5.5,,,ALB,,,,,,2012.0,,,
,,,,4.6,,,ALB,,,,,,2013.0,,,
,,,,4.8,,,ALB,,,,,,2014.0,,,
,,,,4.6,,,ALB,,,,,,2015.0,,,
,,,,4.5,,,ALB,,,,,,2016.0,,,
,,,,4.6,,,ALB,,,,,,2017.0,,,
,,,,6.9,,,ARE,,,,,,2009.0,,,
,,,,7.1,,,ARE,,,,,,2010.0,,,
,,,,7.1,,,ARE,,,,,,2011.0,,,
,,,,7.2,,,ARE,,,,,,2012.0,,,
,,,,6.6,,,ARE,,,,,,2013.0,,,
,,,,6.5,,,ARE,,,,,,2014.0,,,
,,,,6.6,,,ARE,,,,,,2015.0,,,
,,,,6.8,,,ARE,,,,,,2016.0,,,
,,,,7,,,ARE,,,,,,2017.0,,,
,,,,6.1,,,ARG,,,,,,2007.0,,674119.6017,
,,,,6.1,,,ARG,,,,,,2007.0,,17128.763128,
,35.2,,,6,,,ARG,,,,,,2008.0,,715230.3322,54.195175
,35.2,,,6,,,ARG,,,,,,2008.0,,17995.026725,54.195175
,35.7,,,6.4,,,ARG,,,,,,2009.0,,678009.4763,55.205746000000005
,35.7,,,6.4,,,ARG,,,,,,2009.0,,16893.643204,55.205746000000005
,,,,6.4,,,ARG,,,,,,2010.0,,755779.9706,
,,,,6.4,,,ARG,,,,,,2010.0,,18529.262941,
,37,,,6.8,,,ARG,,,,,,2011.0,,817697.5348,57.246914000000004
,37,,,6.8,,,ARG,,,,,,2011.0,,19817.45048,57.246914000000004
,38,,,6.5,,,ARG,,,,,,2012.0,,824212.3259,58.583588
,38,,,6.5,,,ARG,,,,,,2012.0,,19749.526124,58.583588
,38.3,,,6.6,,,ARG,,,,,,2013.0,,857668.5632,59.36483
,38.3,,,6.6,,,ARG,,,,,,2013.0,,20322.486178,59.36483
,38.2,,,6.7,,,ARG,,,,,,2014.0,,851124.2585,58.751865
,38.2,,,6.7,,,ARG,,,,,,2014.0,,19946.90021,58.751865
,,,,6.7,,,ARG,,,,,,2015.0,,883851.7737,
,,,,6.7,,,ARG,,,,,,2015.0,,20491.803544,
,,,,6.4,,,ARG,,,,,,2016.0,,883043.4204,
,,,,6.4,,,ARG,,,,,,2016.0,,20257.764751,
,40.1,,,6,,,ARG,,,,,,2017.0,,927767.9736,61.471607
,40.1,,,6,,,ARG,,,,,,2017.0,,21064.180459,61.471607
,,,,4.9,,,ARM,,,,,,2007.0,,,
,,,,4.7,,,ARM,,,,,,2008.0,,,
,,,,4.2,,,ARM,,,,,,2009.0,,,
,,,,4.4,,,ARM,,,,,,2010.0,,,
,,,,4.3,,,ARM,,,,,,2011.0,,,
,,,,4.3,,,ARM,,,,,,2012.0,,,
,,,,4.3,,,ARM,,,,,,2013.0,,,
,,,,4.5,,,ARM,,,,,,2014.0,,,
,,,,4.3,,,ARM,,,,,,2015.0,,,
,,,,4.3,,,ARM,,,,,,2016.0,,,
,,,,4.3,,,ARM,,,,,,2017.0,,,
10.8,34.4,203,72.8,7.3,81.4,20.1,AUS,58.6,1722.6,16.9,6612.4,10.6,2007.0,1722.64,825040.7301,68.183268
